DATA;ESTADO;CASOS NOVOS;CASOS TOTAIS;ÓBITOS NOVOS;ÓBITOS TOTAIS;;;;
27/06/2022;AC;0;0;0;0;;;;
27/06/2022;AL;0;0;0;0;;;;
27/06/2022;AP;0;0;0;0;;;;
27/06/2022;AM;0;0;0;0;;;;
27/06/2022;BA;0;0;0;0;;;;
27/06/2022;CE;0;0;0;0;;;;
27/06/2022;DF;0;0;0;0;;;;
27/06/2022;ES;0;0;0;0;;;;
27/06/2022;GO;0;0;0;0;;;;
27/06/2022;MA;0;0;0;0;;;;
27/06/2022;MT;0;0;0;0;;;;
27/06/2022;MS;0;0;0;0;;;;
27/06/2022;MG;0;0;0;0;;;;
27/06/2022;PA;0;0;0;0;;;;
27/06/2022;PB;0;0;0;0;;;;
27/06/2022;PR;0;0;0;0;;;;
27/06/2022;PE;0;0;0;0;;;;
27/06/2022;PI;0;0;0;0;;;;
27/06/2022;RJ;4;4;0;0;;;;
27/06/2022;RN;0;0;0;0;;;;
27/06/2022;RS;2;2;0;0;;;;
27/06/2022;RO;0;0;0;0;;;;
27/06/2022;RR;0;0;0;0;;;;
27/06/2022;SC;0;0;0;0;;;;
27/06/2022;SP;14;14;0;0;;;;
27/06/2022;SE;0;0;0;0;;;;
27/06/2022;TO;0;0;0;0;;;;
28/06/2022;AC;0;0;0;0;;;;
28/06/2022;AL;0;0;0;0;;;;
28/06/2022;AP;0;0;0;0;;;;
28/06/2022;AM;0;0;0;0;;;;
28/06/2022;BA;0;0;0;0;;;;
28/06/2022;CE;0;0;0;0;;;;
28/06/2022;DF;0;0;0;0;;;;
28/06/2022;ES;0;0;0;0;;;;
28/06/2022;GO;0;0;0;0;;;;
28/06/2022;MA;0;0;0;0;;;;
28/06/2022;MT;0;0;0;0;;;;
28/06/2022;MS;0;0;0;0;;;;
28/06/2022;MG;0;0;0;0;;;;
28/06/2022;PA;0;0;0;0;;;;
28/06/2022;PB;0;0;0;0;;;;
28/06/2022;PR;0;0;0;0;;;;
28/06/2022;PE;0;0;0;0;;;;
28/06/2022;PI;0;0;0;0;;;;
28/06/2022;RJ;1;5;0;0;;;;
28/06/2022;RN;0;0;0;0;;;;
28/06/2022;RS;0;2;0;0;;;;
28/06/2022;RO;0;0;0;0;;;;
