"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,7.32674552784902,3.66337276392451,1.99629156304354,2.50266680075116,4.64391150605106,6.7260636674083,9.35886874412414,14.2022670726271,16.0588946887914
"2",3,9,5.46134611861079,2.44238823397367,1.77328421905813,2.15193373932093,3.67941852862161,5.1018900194885,6.85336754828865,9.99810712155142,11.1865721121648
"3",4,10,4.33500253328938,1.7697573733719,1.59086952781969,1.88790425593559,3.04838056067961,4.09669385287099,5.36290521013855,7.5956721603257,8.43037485385425
"4",5,11,3.61762573665882,1.36733400510087,1.45447317249713,1.69786322857818,2.62673577453895,3.44689296215215,4.42304710782641,6.12019361369887,6.74918419015584
"5",6,12,3.91421169644036,1.23778242048231,1.87701665233794,2.12361864374889,3.02407563586441,3.78453958344579,4.66333154470051,6.14735418145715,6.68735375009295
"6",7,13,3.50237868241444,1.01104963754799,1.80973017329152,2.02093452500731,2.77815280963098,3.40558553049117,4.12130007567833,5.31413414767684,5.74449600962073
"7",8,14,3.07405785792555,0.821576520819829,1.68061603641972,1.85847383208174,2.4874788366997,3.00118393479593,3.5813316505187,4.53831265566248,4.88125166121517
"8",9,15,2.75283723813386,0.688209309533465,1.57348433596002,1.72670971330653,2.26284138343498,2.69570374337839,3.18064381259971,3.97391493110756,4.25661223681302
"9",10,16,2.50608426595402,0.590689726227,1.48526436332714,1.61980819313571,2.08652670852256,2.45983119754755,2.8752872504247,3.55017885025474,3.78956791810573
"10",11,17,2.31264385417157,0.517122886567475,1.41262294692755,1.53266442790508,1.94610685458106,2.27421608778088,2.63733983869133,3.22373761055678,3.43090585801761
"11",12,18,2.64853679691502,0.509711144219173,1.74540243806475,1.86948529810581,2.28929347483226,2.61591155028317,2.97224586977159,3.53889718581712,3.73698968890065
"12",13,19,2.60312016049472,0.460170979432307,1.78053226276049,1.89518964323522,2.27976420495679,2.57605511440566,2.89699373011877,3.4033868464692,3.57945499031592
"13",14,20,2.46386635718747,0.40505713397736,1.73478929483881,1.8375525640795,2.179932092239,2.44170526531312,2.72365774391737,3.16578414754581,3.31883960254122
"14",15,21,2.32197918510868,0.358289166804517,1.67347835823845,1.76570654158673,2.07133932663592,2.30357700663373,2.55256967933743,2.94103100531625,3.07502631199689
"15",16,22,2.19068026882058,0.31954355878612,1.60962946245005,1.69287772361964,1.96753243774332,2.17516327103864,2.39692114567401,2.74141848028003,2.85988898418893
"16",17,23,2.23374066931001,0.298496152695042,1.68734369616938,1.76645772354994,2.02582580787392,2.22045875568738,2.42718268980534,2.74633357192084,2.85560050869006
"17",18,24,2.49291786946104,0.291773967307453,1.95404966218984,2.0331759514996,2.29041225937963,2.4815439696481,2.68302850715712,2.99145990478963,3.09641176131782
"18",19,25,2.4246210501462,0.262987077222483,1.93670117815884,2.00885886374746,2.24244099818237,2.41511938969617,2.59644596995545,2.87279620407717,2.9665300096799
"19",20,26,2.46463107581785,0.241676960565431,2.01378218725226,2.08102934694065,2.29760526190207,2.45673613417163,2.62305235809188,2.87516448017824,2.96034079429658
"20",21,27,2.4241108930978,0.218574718337283,2.01467315316493,2.07613542129324,2.27332415136558,2.41754466131001,2.56774098403286,2.7944852969694,2.87086014077273
"21",22,28,2.32878950701392,0.195427674168302,1.96151998534096,2.01692953091248,2.19416643772934,2.32332515217972,2.45745672684103,2.65928955342277,2.7271097354645
"22",23,29,2.23184367372396,0.175350199582057,1.90139244473124,1.951460251583,2.1112027337838,2.22725308642117,2.34748102019391,2.52788648966191,2.58838079193597
"23",24,30,2.08346855413415,0.156162570434994,1.78862805933939,1.83342842636422,1.97612046816652,2.07956822921223,2.18656535469798,2.34681341702082,2.40047269684623
"24",25,31,1.87869923224442,0.137752911200738,1.61839875103898,1.65800174670657,1.78404282049723,1.87533346251912,1.96968699333636,2.11087797111974,2.15812580306534
"25",26,32,1.73034656132405,0.124231643093875,1.4954118363013,1.53119863916349,1.64501229866915,1.72737436714128,1.81244114917513,1.93963316732754,1.9821709184062
"26",27,33,1.64916136782157,0.115182426189938,1.43112136001942,1.46438565896117,1.57007988617289,1.64648058116121,1.72532078808007,1.84308170443113,1.88243512431483
"27",28,34,1.58728043753687,0.108000754185193,1.38264660285893,1.41390977428051,1.51316173845128,1.58483160384347,1.65872988861111,1.76900448602016,1.80582997658571
"28",29,35,1.53639722179228,0.101974265198097,1.34301706894757,1.37259954066619,1.46644246031083,1.53414172180134,1.60389345746734,1.70788878528581,1.74259448038266
"29",30,36,1.68224196467487,0.102759283048594,1.48684705977393,1.51686105738118,1.61183880258715,1.68015008720459,1.75036491538024,1.85475858598823,1.88952427546411
"30",31,37,1.79629433172082,0.10169514091858,1.6024833686884,1.63235722247049,1.72669621390313,1.79437557877651,1.86380092323321,1.96677658288178,2.00100896740912
"31",32,38,1.84594927029745,0.0978351156557291,1.65915343135153,1.68802618019548,1.77905231428448,1.84422114138267,1.91096247105646,2.00976724424645,2.04256557446938
"32",33,39,1.86550731635692,0.0929275385063899,1.68779595636023,1.71533168365718,1.80201605458434,1.86396452665163,1.92731683975017,2.02094560659078,2.05198594793275
"33",34,40,1.81242898591704,0.0864041616868112,1.64701452760572,1.67268682469936,1.75342608786517,1.81105611873131,1.8699353645048,1.95685417165234,1.98564511105489
"34",35,41,1.75548074184168,0.0803779415668119,1.6014570726148,1.62539589179899,1.70061876852757,1.75425414331909,1.8090056330034,1.88974967156772,1.91647488458778
"35",36,42,1.70317444239001,0.0751238041879035,1.55909763238759,1.58151906820926,1.6519201924943,1.70207004683666,1.75322481601938,1.82859704382024,1.85352728690995
"36",37,43,1.76648394536259,0.0728485700981601,1.62656978092578,1.64839080517176,1.71681777106939,1.76548263821593,1.81505861138284,1.88799266139828,1.9120883334448
"37",38,44,1.79427876600921,0.069789355531225,1.66008305177354,1.6810493072688,1.74672638079916,1.79337401673114,1.84084489469716,1.910594427398,1.93361599750057
"38",39,45,1.78935149946339,0.0660461690204493,1.66222760724828,1.6821187001379,1.74437220002527,1.78853896224047,1.83344505850543,1.89935595346941,1.92109289423746
"39",40,46,1.7594618573442,0.0620514353674078,1.63992909748878,1.65865551617064,1.7172207028346,1.75873244933576,1.80090788772871,1.86275628868657,1.8831397176398
"40",41,47,1.75170532714486,0.0587503110409655,1.63843433527738,1.65620277636886,1.71172898044415,1.75104856354777,1.79096573702927,1.84944816870702,1.86870859935451
"41",42,48,1.73168268836255,0.0554866923866141,1.62462439067219,1.64143708879412,1.69394147233887,1.73109008833129,1.76877791065999,1.82394970891027,1.84210863950375
"42",43,49,1.70203374148747,0.0523022274874869,1.60105391941601,1.61692759762017,1.66647049433353,1.70149803532862,1.73701301383046,1.78896723457516,1.8060579011896
"43",44,50,1.67382071873351,0.0494012565123739,1.57838432659125,1.59340019914239,1.64024046713844,1.67333473316749,1.70687119516174,1.75589898482075,1.77201889640342
"44",45,51,1.64503455923751,0.0467346907174252,1.55470020676385,1.56892502474144,1.61327590207052,1.64459200990825,1.67631079055619,1.72265367428011,1.73788385743655
"45",46,52,1.61519769540896,0.0442727662637873,1.5295797158684,1.5430718783321,1.58511977893629,1.61479320611187,1.64483467493642,1.6887032660116,1.70311433247578
"46",47,53,1.62895625901574,0.0425880013988529,1.54654485717922,1.55954392287051,1.60003237211557,1.62858512885826,1.65747557338202,1.69963455687329,1.71347674474455
"47",48,54,1.62134694702761,0.0406993520137466,1.54254970039863,1.55498830093733,1.59371318579478,1.62100641218382,1.64860948750248,1.68886719086408,1.70207940971068
"48",49,55,1.60336321944748,0.0387620655861873,1.52828239368561,1.54014247342263,1.57705113179275,1.60305086650062,1.6293348073712,1.66764943175196,1.68021910816517
"49",50,56,1.5805438027064,0.0368967829931618,1.50904667514448,1.52034760573205,1.5555032800583,1.58025670138929,1.60527135243913,1.64171932999469,1.65367249216711
"50",51,57,1.52362959854091,0.034780987912086,1.45621521470617,1.4668748916779,1.50002815271485,1.5233649498455,1.54694254718683,1.58128704754557,1.59254794920729
