"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,13,6.45782892498707,0.84795448015839,4.90370025058843,5.12917309676254,5.86748608058695,6.42075312444717,7.00777096123782,7.91296483831437,8.22261009537191
"7",8,14,5.48838413765614,0.660723806474139,4.2702904565176,4.44865217450859,5.02947335602545,5.46189309621587,5.91842623516444,6.61848613779238,6.85699649230602
"8",9,15,4.76096045669996,0.532291560968478,3.77514554559368,3.92053359568069,4.39195026051185,4.74113788291758,5.10836792522566,5.66900822383471,5.85940753722179
"9",10,16,4.21686413865661,0.442047473507016,3.39515596002162,3.5170419191169,3.91089205050493,4.20142784896215,4.50601308657744,4.96934388551873,5.12628324368033
"10",11,17,3.6116364109073,0.366706117967168,2.92879383058575,3.03035562724156,3.35800164190346,3.59923289998855,3.85175307570873,4.23522891107647,4.36495790037477
"11",12,18,3.30629691704499,0.319631787332658,2.70959011333238,2.79869333228605,3.08546522933541,3.29600265051918,3.51590902735488,3.84901684214966,3.96149825381638
"12",13,19,3.02124077146171,0.281732154623972,2.49434411164467,2.57324178812442,2.82674606195318,3.01248807874795,3.20619589617743,3.49909729727572,3.59787277758128
"13",14,20,2.79396033341788,0.251922919310819,2.32205419759138,2.39289383600947,2.62016788175871,2.78639228394979,2.95950423567927,3.22084319421315,3.30887063745639
"14",15,21,2.61286875737296,0.228287403283964,2.18461398050049,2.2490457914783,2.45548344394559,2.60622325227912,2.76301093336262,2.99936101650557,3.07888573766837
"15",16,22,2.46479879811872,0.20906150544528,2.07209059263997,2.13129536205831,2.32075362015487,2.45889053617725,2.60240431523084,2.81845658142488,2.89108010788054
"16",17,23,2.51647461829848,0.20019997130307,2.13938597500191,2.19647513513367,2.3787049811184,2.51116759591287,2.64845979207716,2.85457741054128,2.92372021409424
"17",18,24,2.52097660062133,0.190025761125604,2.1622796167597,2.21676454631554,2.39033738500709,2.51620363466423,2.6464133753533,2.84147013661959,2.90679600463248
"18",19,25,2.40312613381812,0.175733987336043,2.07102239464423,2.12155760155698,2.28237680364209,2.39884384663619,2.51920781657523,2.69930232515263,2.75956411002397
"19",20,26,2.29385156354272,0.163016932186915,1.98545456152505,2.03245856141935,2.18189530616944,2.28999101847174,2.40159983830777,2.5684135655309,2.62418632196378
"20",21,27,2.20011391101035,0.152185061439882,1.91192887806568,1.9559177099442,2.0956441145709,2.19660595406155,2.30076002078247,2.45627635519237,2.5082331664982
"21",22,28,2.11851834029439,0.142830477365233,1.84780503523144,1.88918369503476,2.02051134985922,2.11530933006972,2.21302747734399,2.35879945650862,2.40746713656826
"22",23,29,2.12650439464829,0.137265268435162,1.86595735074407,1.90587145906485,2.03238124934029,2.12355164668602,2.21740898616131,2.35720962792558,2.40383077686188
"23",24,30,2.04985782776785,0.129385878803329,1.80408769338467,1.84178003475379,1.96116829050891,2.04713621665603,2.13558074216231,2.26721946474852,2.3110938738767
"24",25,31,1.98494401129811,0.122396891160416,1.75227698591843,1.78800020742066,1.90107481849702,1.98242880706248,2.06607155800173,2.19046756470073,2.23190404722796
"25",26,32,1.92089669667189,0.116045613346444,1.70016258972392,1.73408655325073,1.84140371377008,1.91856034545333,1.99784297929409,2.11567648808357,2.15490748181644
"26",27,33,1.89691227109752,0.111390524023402,1.68485072376731,1.71748451529732,1.82063951905414,1.89473235826578,1.97080883457188,2.08377603207973,2.12136154284228
"27",28,34,1.95838697969626,0.109477160321283,1.74966971599229,1.78185888602897,1.88347608165696,1.95634737146546,2.03107460956391,2.14187246712393,2.17869471060501
"28",29,35,1.99965499296288,0.106886055363128,1.79562491522508,1.82715057847121,1.92656110663863,1.99775088241641,2.07067329677027,2.17865459031502,2.21450558289816
"29",30,36,1.9710624785231,0.102332465071742,1.7755730318339,1.80581464780325,1.90110904570068,1.96929181604883,2.03908578699765,2.14235027731345,2.17661411103813
"30",31,37,1.98128786159667,0.0989407942879978,1.79208879334713,1.82140171758881,1.91368605977742,1.97964114937487,2.04709464344433,2.14679115679978,2.17984476451986
"31",32,38,1.98614714935814,0.0955585492776777,1.80324772454481,1.83162417245153,1.92088585428712,1.98461483880961,2.04973812241718,2.14589703350617,2.17775431380399
"32",33,39,1.97946748557939,0.0919936555994645,1.80324612716254,1.83062065798152,1.91666644258209,1.97804256554037,2.04071526378513,2.1331748937479,2.16378632597134
