"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.58818782311209,0.396249057149449,2.853792260354,2.9622242692237,3.31357248586422,3.5736122817459,3.84691855644235,4.26387296046398,4.40540215858038
"2",3,9,3.09434114236398,0.314182741251445,2.50930221550363,2.59631729956231,2.87703452243614,3.0837141883246,3.30006585834546,3.62861638765599,3.73976427278937
"3",4,10,2.94377847123637,0.268728978832372,2.44068490599573,2.51613798370736,2.75834425594831,2.93560535921552,3.12030471181897,3.39929935955154,3.49331425078984
"4",5,11,2.7406366036459,0.229989114764519,2.30841536103515,2.37362410073762,2.58220540569295,2.73420587608172,2.89205865844538,3.12958567867682,3.20939987949216
"5",6,12,2.50379658290264,0.196716838053574,2.13307946337096,2.18924809434845,2.36845539537389,2.49864662686514,2.63352448291469,2.83591258173579,2.90377818948518
"6",7,13,2.27115201385843,0.169753871613202,1.9506160754587,1.99932887710492,2.15446690272646,2.26692408350814,2.38322875201999,2.55739740654454,2.61571323192501
"7",8,14,2.09589695807285,0.149706925576632,1.81273250498184,1.85587844092311,1.99307282697696,2.09233358715941,2.19483703024436,2.34807076489297,2.39931044608287
"8",9,15,1.94446725777911,0.133862646527799,1.69093577805065,1.7296450308812,1.85258240517115,1.94139629378274,2.03300474413786,2.16976506737962,2.2154497256022
"9",10,16,1.81239230294451,0.121095554429367,1.58280324356681,1.61791264212918,1.7293114001118,1.8096960052476,1.89253420855238,2.01606948259858,2.05730333393817
"10",11,17,1.65437704801836,0.109324312549651,1.44702777155693,1.47875437853331,1.57938537140468,1.65196955419684,1.7267445210844,1.83821207424918,1.87540715714398
"11",12,18,1.60378329286784,0.102671704453652,1.40884643717102,1.43872185757301,1.533390082911,1.60159286499117,1.67178888917146,1.77631662692073,1.81116752392164
"12",13,19,1.54818858545214,0.0967617865907586,1.36433031729146,1.39254118157254,1.48187168882064,1.54617318220057,1.61230863906362,1.71071084433293,1.74349965794541
"13",14,20,1.5002905715868,0.0916448327518812,1.32602959146933,1.35279727327216,1.43750221978717,1.49842495171078,1.5610453398057,1.65414778465928,1.68515321504957
"14",15,21,1.46062936165672,0.0872893000342972,1.2945386322566,1.32007749546486,1.40084435828489,1.45889088566795,1.51851936506383,1.60711143043899,1.63659926031571
"15",16,22,1.42720436718426,0.0835208182092866,1.26818396908316,1.29265916155768,1.37001773083318,1.42557546950814,1.48261544162119,1.56730598309473,1.59548125538795
"16",17,23,1.51826394342176,0.0835776793802609,1.35885493811961,1.3834557706357,1.46108701740754,1.51673061917759,1.57376947069828,1.6583025007131,1.6863863699691
"17",18,24,1.64292593152744,0.0840594033361438,1.48228314724735,1.50714843736267,1.5854744697502,1.64149253639435,1.69881490696799,1.78359292748896,1.81171431248681
"18",19,25,1.67268469105069,0.0813287127462556,1.51706111506072,1.54119639268676,1.61713457324285,1.67136676342448,1.72679818038672,1.80866861024045,1.83579771718972
"19",20,26,1.7304918305525,0.0789857842643343,1.57912497893689,1.60265343247267,1.67658200294375,1.72929024858926,1.78309184548369,1.86242897345051,1.88868699354395
"20",21,27,1.75528412343985,0.0757461008577884,1.60994427098148,1.63257865590435,1.70361766452495,1.7541946819179,1.80576300479678,1.88170580660214,1.90681503650881
"21",22,28,1.7518645373049,0.0718798726302265,1.61379644628895,1.63533295751463,1.70286136898476,1.75088154647522,1.7997961632298,1.87174921354068,1.89551876529904
"22",23,29,1.75030216680049,0.0682338825520385,1.61910322457845,1.63959990608641,1.70380859463325,1.74941556880267,1.79582926909974,1.86402871419068,1.8865394755814
"23",24,30,1.68511718668813,0.0636006496776439,1.5627511411183,1.58188578903134,1.64179422955446,1.68431710365693,1.72756798092105,1.79107775727432,1.81202995631751
"24",25,31,1.59921505706164,0.0590281048695103,1.48559934622805,1.50337681212004,1.55901525677696,1.59848886002226,1.638623235701,1.69753044073166,1.71695761475597
"25",26,32,1.54341363489154,0.0555486722157611,1.43644601817348,1.4531948346788,1.50559225018415,1.54274727258353,1.58050862217006,1.63590547012971,1.65416807169181
"26",27,33,1.49734017357289,0.0526436770279219,1.3959245349108,1.41181396404371,1.46150429002101,1.49672326774517,1.53250357095802,1.58497071599403,1.60226158244477
"27",28,34,1.46398471411524,0.0502438253173883,1.36715189805098,1.38233285010706,1.42978976104025,1.46340996637843,1.49755313650001,1.54759710458834,1.56408372558232
"28",29,35,1.47887547183739,0.0488634209773473,1.38464314934286,1.39943057117467,1.44563082980404,1.47833734237595,1.51153349945304,1.56015598926108,1.57616589752441
"29",30,36,1.50099662859364,0.047632688250605,1.40907811375394,1.42351654703689,1.4686001387094,1.5004927994494,1.5328438937055,1.58019532413045,1.59577832650517
"30",31,37,1.50661356677057,0.0461016264588449,1.4175995070768,1.43159356391371,1.47526750105719,1.50614336391728,1.53744706291679,1.58323748021852,1.5982997189179
"31",32,38,1.49969247862958,0.0443975894764768,1.41392632018349,1.42741977816203,1.46951274420534,1.49925437913635,1.52939463878195,1.57345958134026,1.58794829282448
"32",33,39,1.49106665514541,0.0427416977679972,1.40846088712713,1.42146622151591,1.46201953644124,1.49065827551545,1.51966859676192,1.56206011312478,1.57599318685552
"33",34,40,1.49560563938137,0.0413535904219569,1.41564247037725,1.42824126866828,1.46750920953445,1.49522451352467,1.52328660108173,1.56427006867299,1.57773469430356
"34",35,41,1.48967304059346,0.0398701848362413,1.41254448064701,1.42470466503587,1.462590644173,1.48931735535266,1.51636770143176,1.55585469392993,1.5688229121626
"35",36,42,1.45923603165885,0.0381247261152046,1.38546079612729,1.39709780042462,1.43334352319636,1.45890402324228,1.48476661456338,1.5225067764683,1.53489802739476
"36",37,43,1.42882452448385,0.0365047613204674,1.35816392767581,1.36931441873278,1.40403591663148,1.42851365215074,1.4532742471866,1.48939504637285,1.50125176857824
"37",38,44,1.40774126632485,0.0351386703127513,1.33970521050398,1.3504462183712,1.3838839284326,1.40744891133454,1.43127990479123,1.46603356578322,1.47743873839024
"38",39,45,1.40110573803144,0.0340519849373228,1.33515235097453,1.34556963398134,1.37799013448052,1.40082988516961,1.42392063108029,1.45758280305164,1.46862676247652
"39",40,46,1.38497056400985,0.0329102561436876,1.32121151192384,1.33128623626696,1.36263313414747,1.38470989692683,1.40702383739464,1.43954405243273,1.45021095508554
"40",41,47,1.37301301271388,0.0318788536750353,1.31123558837124,1.32100112091011,1.35137868644005,1.37276629768383,1.39437839165682,1.42586647328126,1.43619248869758
"41",42,48,1.36095490235041,0.0309068560770772,1.30104608601253,1.31051979613904,1.33998298086506,1.36072094785473,1.38167178679223,1.41218804981513,1.42219325415029
"42",43,49,1.36195100774119,0.0301319544364968,1.30352738861244,1.31277023304641,1.34150800600383,1.36172879995918,1.38215177754052,1.41188975441759,1.42163740758008
"43",44,50,1.35875832417858,0.0293378693000998,1.30185946620738,1.31086462562797,1.33885682287851,1.35854717875826,1.37842965265565,1.40737225985084,1.41685709711174
"44",45,51,1.35443332111792,0.0285539615570592,1.29904090674222,1.30781094455577,1.33506615629116,1.35423266961526,1.37358175258803,1.40174013897271,1.41096601505097
"45",46,52,1.35137214134156,0.0278116636287138,1.29740641580408,1.30595373158682,1.33251091428058,1.35118135520324,1.370025389332,1.39744134062554,1.40642208298473
"46",47,53,1.35359782582509,0.0271480778539826,1.30090614746356,1.3092548969204,1.33518914112581,1.35341633406388,1.37180866330594,1.39855984019285,1.40732090167326
"47",48,54,1.34347537789571,0.0263781738107442,1.2922673883085,1.30038357516327,1.32559072090644,1.34330274300979,1.3611718426207,1.3871560544056,1.3956644325404
"48",49,55,1.33213091947777,0.025627381632774,1.2823707550457,1.29025977030761,1.314757103943,1.33196658420763,1.3493255902373,1.37456263161316,1.38282498334618
"49",50,56,1.30776775396474,0.0247943119963509,1.25961855582794,1.26725373181191,1.29095993195686,1.30761106334725,1.32440476472509,1.34881626242866,1.35680740792961
"50",51,57,1.29087487572871,0.0240875112464079,1.24409136855043,1.25151161591921,1.27454746407929,1.29072505583118,1.30703896598201,1.33074918515278,1.33850979329805
