"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,13,3.96176623481218,0.150931273103763,3.67142961723581,3.71681807607177,3.85894691860369,3.95984972522723,4.06249638348123,4.21325182354898,4.26299401860109
"7",8,14,3.66944324677657,0.131219022608247,3.41673153127983,3.45630758631503,3.58010548033136,3.66787923780393,3.75707609605089,3.88791391317497,3.93104295272007
"8",9,15,3.40898966841651,0.115244884903511,3.18682628157486,3.22166933142555,3.33056653994683,3.40769109367415,3.48599722349619,3.60073958298317,3.63853264191876
"9",10,16,3.10618653884753,0.101044255661769,2.91127484628243,2.9418730902566,3.03744918649564,3.10509095095328,3.1737295909256,3.27423715348534,3.30732428387224
"10",11,17,2.79926814190853,0.0888768523824927,2.62776063874933,2.65470047838691,2.73881995129733,2.79832758382384,2.85869102901457,2.94704414758427,2.97612069106671
"11",12,18,2.6869557292245,0.0814603109040525,2.52964828757107,2.55438408112427,2.63157209882322,2.6861325646008,2.74144202498942,2.82233527678983,2.84894109327363
"12",13,19,2.53693317944055,0.0744869229262606,2.39302383925222,2.41566898255407,2.48630306292759,2.53620421290665,2.58676864591386,2.66068395565232,2.68498513124888
"13",14,20,2.4057112106256,0.0685390590895766,2.27323607426441,2.29409548848155,2.35913438429226,2.40506034605268,2.4515785254108,2.5195470977459,2.54188511878985
"14",15,21,2.29462754930937,0.063543832934642,2.17175890139167,2.19111717046212,2.25145416828129,2.29404101473816,2.33716154465049,2.40013865651649,2.42082939256983
"15",16,22,2.19921074144406,0.0592867482771758,2.08453197914871,2.10260977257537,2.15893735352648,2.19867800985385,2.23890339415312,2.29762891091968,2.31691694567341
"16",17,23,2.25515062104262,0.0574106667405873,2.14401841323867,2.16155665338766,2.21616674836525,2.2546634609668,2.29360343541811,2.35040633964374,2.36905129675106
"17",18,24,2.44183037991236,0.0571276315442729,2.33113349931496,2.34862973418246,2.40305939317818,2.44138488617716,2.48011572810389,2.53655064780685,2.55505894719758
"18",19,25,2.47815074385152,0.0547599123681219,2.3719739328532,2.38877185365328,2.44099918345459,2.47774741067683,2.51486262487065,2.56890544204811,2.58661964991446
"19",20,26,2.54256596079425,0.0525948077870554,2.44051633567316,2.45667812373595,2.50689639945727,2.54220331616739,2.57784019736945,2.6296908129387,2.64667645431454
"20",21,27,2.56076059228481,0.0499714115185289,2.46374529446511,2.4791230476775,2.52688055250426,2.56043554750222,2.59428629510684,2.64350689508588,2.6596230839411
"21",22,28,2.54149161097631,0.0470727316106777,2.45005929988831,2.46456268584096,2.50958511315835,2.54120099463116,2.57308130259054,2.61941185548689,2.63457546365669
"22",23,29,2.56830694022296,0.0447559788547011,2.48132786673751,2.4951359666111,2.5379794577992,2.56804696849332,2.59835102243649,2.6423647013959,2.65676340596546
"23",24,30,2.52300211484595,0.041945302742969,2.44145330698893,2.45440695232515,2.49458516315831,2.522769669592,2.55116567330369,2.59239016946678,2.60587188532186
"24",25,31,2.45486793389379,0.039144086266854,2.37873982141178,2.39083844033324,2.42835346735514,2.45465987974153,2.4811555963128,2.5196071191858,2.53217839718778
"25",26,32,2.4226196729786,0.0368675196678865,2.35089352296411,2.36229863663266,2.39765202160155,2.42243265843307,2.44738345583586,2.48357863295915,2.49540860814167
"26",27,33,2.41926840059153,0.0349847896509602,2.35117989915949,2.36201259263993,2.39558049933019,2.41909976554215,2.44277246911387,2.47709943797663,2.48831523858731
"27",28,34,2.42304046302572,0.0332610628421106,2.35828349542784,2.3685916794444,2.40052403288334,2.4228882732509,2.44539098769994,2.47800837966318,2.48866231051968
"28",29,35,2.4026182979505,0.0314612535385867,2.34134649702789,2.35110440909106,2.38132381726675,2.40248097548346,2.42376308028999,2.45460060609631,2.46467048945211
"29",30,36,2.35693819599171,0.0296101501900062,2.29925650050206,2.30844623077963,2.33689944080999,2.35681419998209,2.37684178025994,2.40585312271531,2.41532454918603
"30",31,37,2.32281179855654,0.0279674215359462,2.26831629490311,2.27700171769801,2.30388737628812,2.32269955385553,2.34161386024723,2.36900475613328,2.37794517843259
"31",32,38,2.27921711087717,0.0263939035352227,2.22777611178323,2.23597746146493,2.26135959560104,2.2791152290213,2.29696356232729,2.322804288396,2.33123709518567
"32",33,39,2.23596513491324,0.0249396885956704,2.18734824827925,2.19510175153104,2.21909341068819,2.23587241082558,2.25273577838935,2.27714480842114,2.28510896407208
